# JMP-table dispatch audit
# total sites: 971
#
# Summary:
#   static_target            670  (JMP with statically resolved target — safe)
#   in_function_switch         4  (JMP(PC,Dn.W) compiled to in-function switch+goto — safe, this is the Duff's-device fix)
#   dynamic_register           1  (JMP (An)/(d,An)/(An,Xn) — runtime address from register, safe via call_by_address)
#   fallback_hybrid                — JMP(PC,Dn.W) routed through hybrid_jmp_interpret; subdivided:
#     function_entry           5    (base IS a registered function — call_by_address resolves it directly)
#     bra_w_trampoline         0    (base opcode = 0x6000; runtime miss feedback works)
#     offset_table           291    (base is a dc.w (target-base) table; 1+ entries decode to functions — runtime resolves it)
#     INTERIOR_UNRESOLVED      0    (DANGER: base is interior to a function, NOT one of the safe patterns above — silent failure class like pre-fix CPZ)
#     external_unresolved      0    (base outside any known function — investigate)
#   unsupported                0  (decoder hit a JMP mode the emitter doesn't handle)
#
# When `interior_unresolved` is non-zero, inspect each site — these are
# Sonic-2-CPZ-style silent-failure candidates. Either the recompiler's
# Duff's-device probe (probe_pc_idx_targets) didn't match, or the table
# really is a new pattern that needs new codegen support.
#
# Format: <jmp_addr>  in func <func>  base <base>  kind=<kind>[ targets=N]

$02725E  in func $027256  base $027262  kind=fallback_hybrid/offset_table
$027618  in func $027618  base $016564  kind=static_target
$02761E  in func $02761E  base $0165B4  kind=static_target
$027624  in func $027624  base $0164AE  kind=static_target
$027636  in func $02762C  base $02763A  kind=fallback_hybrid/offset_table
$027836  in func $02782C  base $02783A  kind=fallback_hybrid/offset_table
$0278FC  in func $0278FC  base $016442  kind=static_target
$027902  in func $027902  base $018092  kind=static_target
$027908  in func $027908  base $016DEE  kind=static_target
$02790E  in func $02790E  base $0197B0  kind=static_target
$027914  in func $027914  base $01647A  kind=static_target
$027926  in func $02791C  base $02792A  kind=fallback_hybrid/offset_table
$0279BA  in func $0279AA  base $0279BE  kind=fallback_hybrid/offset_table
$027B28  in func $027B28  base $016442  kind=static_target
$027B2E  in func $027B2E  base $01EE92  kind=static_target
$027B34  in func $027B34  base $016DEE  kind=static_target
$027B3A  in func $027B3A  base $0197B0  kind=static_target
$027B40  in func $027B40  base $01641C  kind=static_target
$027B52  in func $027B48  base $027B56  kind=fallback_hybrid/offset_table
$027DEC  in func $027DEC  base $018092  kind=static_target
$027DF2  in func $027DF2  base $016DEE  kind=static_target
$027DF8  in func $027DF8  base $0197B0  kind=static_target
$027DFE  in func $027DFE  base $01647A  kind=static_target
$027E0E  in func $027E04  base $027E12  kind=fallback_hybrid/offset_table
$0280B4  in func $0280B4  base $016DEE  kind=static_target
$0280BA  in func $0280BA  base $0197B0  kind=static_target
$0280C0  in func $0280C0  base $01647A  kind=static_target
$0280C6  in func $0280C6  base $01641C  kind=static_target
$028420  in func $028420  base $016564  kind=static_target
$028426  in func $028426  base $016556  kind=static_target
$02842C  in func $02842C  base $018072  kind=static_target
$028432  in func $028432  base $016DEE  kind=static_target
$028438  in func $028438  base $019CCA  kind=static_target
$02843E  in func $02843E  base $01641C  kind=static_target
$02844E  in func $028444  base $028452  kind=fallback_hybrid/offset_table
$028536  in func $0284CA  base $016564  kind=static_target
$02854E  in func $0284CA  base $016556  kind=static_target
$0285A6  in func $028554  base $016564  kind=static_target
$0285BE  in func $028554  base $016556  kind=static_target
$02864C  in func $02864C  base $016DEE  kind=static_target
$028652  in func $028652  base $0197B0  kind=static_target
$028662  in func $028658  base $028666  kind=fallback_hybrid/offset_table
$028792  in func $028762  base $016564  kind=static_target
$028798  in func $028762  base $016556  kind=static_target
$0289C0  in func $0289C0  base $018092  kind=static_target
$0289C6  in func $0289C6  base $016E0A  kind=static_target
$0289CC  in func $0289CC  base $0197B0  kind=static_target
$0289DE  in func $0289D4  base $0289E2  kind=fallback_hybrid/offset_table
$028A64  in func $028A64  base $0164AE  kind=static_target
$028A76  in func $028A6C  base $028A7A  kind=fallback_hybrid/offset_table
$028C40  in func $028C40  base $016564  kind=static_target
$028C46  in func $028C46  base $018072  kind=static_target
$028C4C  in func $028C4C  base $016558  kind=static_target
$028C52  in func $028C52  base $016DEE  kind=static_target
$028C58  in func $028C58  base $0197B0  kind=static_target
$028C74  in func $028C60  base $028C80  kind=fallback_hybrid/offset_table
$028E58  in func $028E58  base $0165A0  kind=static_target
$028E5E  in func $028E5E  base $016564  kind=static_target
$028E64  in func $028E64  base $016556  kind=static_target
$028E6A  in func $028E6A  base $016442  kind=static_target
$028E70  in func $028E70  base $016558  kind=static_target
$028E76  in func $028E76  base $018092  kind=static_target
$028E7C  in func $028E7C  base $016DEE  kind=static_target
$028E82  in func $028E82  base $0033B6  kind=static_target
$028E88  in func $028E88  base $0197B0  kind=static_target
$028E9A  in func $028E90  base $028E9E  kind=fallback_hybrid/offset_table
$029008  in func $029008  base $015B00  kind=static_target
$02900E  in func $02900E  base $016DEE  kind=static_target
$029014  in func $029014  base $0197B0  kind=static_target
$02901A  in func $02901A  base $01647A  kind=static_target
$02902A  in func $029020  base $02902E  kind=fallback_hybrid/offset_table
$029250  in func $029250  base $016442  kind=static_target
$029256  in func $029256  base $016DEE  kind=static_target
$02925C  in func $02925C  base $0197B0  kind=static_target
$029420  in func $029420  base $018092  kind=static_target
$029426  in func $029426  base $016E0A  kind=static_target
$02942C  in func $02942C  base $0197B0  kind=static_target
$029432  in func $029432  base $01647A  kind=static_target
$029442  in func $029438  base $029446  kind=fallback_hybrid/offset_table
$029556  in func $029526  base $016564  kind=static_target
$02957C  in func $02955C  base $016556  kind=static_target
$029586  in func $029582  base $016564  kind=static_target
$029610  in func $029610  base $016564  kind=static_target
$029616  in func $029616  base $018092  kind=static_target
$02961C  in func $02961C  base $016DEE  kind=static_target
$029622  in func $029622  base $019CCA  kind=static_target
$0297FA  in func $0297CE  base $001370  kind=static_target
$02985C  in func $02985C  base $016564  kind=static_target
$029862  in func $029862  base $016556  kind=static_target
$029868  in func $029868  base $0165B4  kind=static_target
$02986E  in func $02986E  base $016DEE  kind=static_target
$029874  in func $029874  base $019826  kind=static_target
$029886  in func $02987C  base $02988A  kind=fallback_hybrid/offset_table
$029A08  in func $029A08  base $016442  kind=static_target
$029A0E  in func $029A0E  base $016DEE  kind=static_target
$029A1E  in func $029A14  base $029A22  kind=fallback_hybrid/offset_table
$02A08C  in func $02A08C  base $016442  kind=static_target
$02A092  in func $02A092  base $016DEE  kind=static_target
$02A0AC  in func $02A098  base $02A0B8  kind=fallback_hybrid/offset_table
$02A2F8  in func $02A2F8  base $0165A0  kind=static_target
$02A2FE  in func $02A2FE  base $016564  kind=static_target
$02A304  in func $02A304  base $016556  kind=static_target
$02A30A  in func $02A30A  base $016558  kind=static_target
$02A310  in func $02A310  base $018092  kind=static_target
$02A316  in func $02A316  base $016DEE  kind=static_target
$02A31C  in func $02A31C  base $0033B6  kind=static_target
$02A322  in func $02A322  base $0197B0  kind=static_target
$02A332  in func $02A328  base $02A336  kind=fallback_hybrid/offset_table
$02A570  in func $02A570  base $01EE92  kind=static_target
$02A576  in func $02A576  base $016DEE  kind=static_target
$02A57C  in func $02A57C  base $01F056  kind=static_target
$02A582  in func $02A582  base $0197B0  kind=static_target
$02A588  in func $02A588  base $01647A  kind=static_target
$02A58E  in func $02A58E  base $01641C  kind=static_target
$02A5A8  in func $02A594  base $02A5B4  kind=fallback_hybrid/offset_table
$02A810  in func $02A810  base $0165A0  kind=static_target
$02A816  in func $02A816  base $016564  kind=static_target
$02A81C  in func $02A81C  base $016556  kind=static_target
$02A822  in func $02A822  base $016558  kind=static_target
$02A828  in func $02A828  base $018092  kind=static_target
$02A82E  in func $02A82E  base $016DEE  kind=static_target
$02A834  in func $02A834  base $0033B6  kind=static_target
$02A83A  in func $02A83A  base $019CCA  kind=static_target
$02A840  in func $02A840  base $01647A  kind=static_target
$02A852  in func $02A848  base $02A856  kind=fallback_hybrid/offset_table
$02AC10  in func $02AC10  base $016442  kind=static_target
$02AC16  in func $02AC16  base $016DEE  kind=static_target
$02AEE8  in func $02AEA4  base $001370  kind=static_target
$02B110  in func $02B100  base $001370  kind=static_target
$02B1C0  in func $02B1C0  base $0165A0  kind=static_target
$02B1C6  in func $02B1C6  base $016556  kind=static_target
$02B1CC  in func $02B1CC  base $016DEE  kind=static_target
$02B1D2  in func $02B1D2  base $019826  kind=static_target
$02B3A4  in func $02B37A  base $001370  kind=static_target
$02B458  in func $02B454  base $001370  kind=static_target
$02B59C  in func $02B59C  base $016442  kind=static_target
$02B5A2  in func $02B5A2  base $0165B4  kind=static_target
$02B5A8  in func $02B5A8  base $016DEE  kind=static_target
$02B5AE  in func $02B5AE  base $0033B6  kind=static_target
$02B5B4  in func $02B5B4  base $019826  kind=static_target
$02B5BA  in func $02B5BA  base $019868  kind=static_target
$02B5CA  in func $02B5C0  base $02B5CE  kind=fallback_hybrid/offset_table
$02B8CC  in func $02B8CC  base $0164AE  kind=static_target
$02B8D2  in func $02B8D2  base $016DEE  kind=static_target
$02B8D8  in func $02B8D8  base $0197B0  kind=static_target
$02B8DE  in func $02B8DE  base $01647A  kind=static_target
$02B978  in func $02B8E4  base $016564  kind=static_target
$02B97E  in func $02B8E4  base $016556  kind=static_target
$02B98E  in func $02B984  base $02B992  kind=fallback_hybrid/offset_table
$02BA88  in func $02BA88  base $016DEE  kind=static_target
$02BA8E  in func $02BA8E  base $0197B0  kind=static_target
$02BA94  in func $02BA94  base $01647A  kind=static_target
$02BA9A  in func $02BA9A  base $01641C  kind=static_target
$02BAAA  in func $02BAA0  base $02BAAE  kind=fallback_hybrid/offset_table
$02BBEC  in func $02BBEC  base $016442  kind=static_target
$02BBF2  in func $02BBF2  base $016DEE  kind=static_target
$02BBF8  in func $02BBF8  base $019DD2  kind=static_target
$02BBFE  in func $02BBFE  base $01641C  kind=static_target
$02BC0E  in func $02BC04  base $02BC12  kind=fallback_hybrid/offset_table
$02BC86  in func $02BC80  base $02BC8A  kind=fallback_hybrid/offset_table
$02BFC6  in func $02BFBC  base $02BFCA  kind=fallback_hybrid/function_entry
$02C17A  in func $02C140  base $02C17E  kind=fallback_hybrid/function_entry
$02C2B8  in func $02C2A2  base $02C2BC  kind=fallback_hybrid/function_entry
$02C398  in func $02C376  base $02C39C  kind=fallback_hybrid/function_entry
$02C4B4  in func $02C4B4  base $018072  kind=static_target
$02C4BA  in func $02C4BA  base $016442  kind=static_target
$02C4C0  in func $02C4C0  base $0165B4  kind=static_target
$02C4C6  in func $02C4C6  base $016E0A  kind=static_target
$02C4CC  in func $02C4CC  base $016DEE  kind=static_target
$02C4D2  in func $02C4D2  base $0033B6  kind=static_target
$02C4D8  in func $02C4D8  base $019826  kind=static_target
$02C4EA  in func $02C4E0  base $02C4EE  kind=fallback_hybrid/offset_table
$02C610  in func $02C5F6  base $001370  kind=static_target
$02C68A  in func $02C65C  base $016564  kind=static_target
$02C6A2  in func $02C690  base $016556  kind=static_target
$02C72C  in func $02C72C  base $016564  kind=static_target
$02C732  in func $02C732  base $016442  kind=static_target
$02C738  in func $02C738  base $0165B4  kind=static_target
$02C73E  in func $02C73E  base $016DEE  kind=static_target
$02C74E  in func $02C744  base $02C752  kind=fallback_hybrid/offset_table
$02C9A4  in func $02C91C  base $016556  kind=static_target
$02C9AA  in func $02C9AA  base $018072  kind=static_target
$02C9B0  in func $02C9B0  base $016442  kind=static_target
$02C9B6  in func $02C9B6  base $0165B4  kind=static_target
$02C9BC  in func $02C9BC  base $016DEE  kind=static_target
$02C9CE  in func $02C9C4  base $02C9D2  kind=fallback_hybrid/offset_table
$02CAA4  in func $02CAA4  base $0164AE  kind=static_target
$02CAB6  in func $02CAAC  base $02CABA  kind=fallback_hybrid/offset_table
$02CD3C  in func $02CD3C  base $016564  kind=static_target
$02CD42  in func $02CD42  base $016556  kind=static_target
$02CD48  in func $02CD48  base $016442  kind=static_target
$02CD4E  in func $02CD4E  base $0165B4  kind=static_target
$02CD54  in func $02CD54  base $0163F0  kind=static_target
$02CD5A  in func $02CD5A  base $01641C  kind=static_target
$02CD6A  in func $02CD60  base $02CD6E  kind=fallback_hybrid/offset_table
$02D0C8  in func $02D0C8  base $016564  kind=static_target
$02D0CE  in func $02D0CE  base $016556  kind=static_target
$02D0D4  in func $02D0D4  base $018072  kind=static_target
$02D0DA  in func $02D0DA  base $016442  kind=static_target
$02D0E0  in func $02D0E0  base $0165B4  kind=static_target
$02D0E6  in func $02D0E6  base $03676E  kind=static_target
$02D0EC  in func $02D0EC  base $0367B2  kind=static_target
$02D0F2  in func $02D0F2  base $0367EC  kind=static_target
$02D0F8  in func $02D0F8  base $01641C  kind=static_target
$02D10A  in func $02D100  base $02D10E  kind=fallback_hybrid/offset_table
$02D400  in func $02D400  base $016556  kind=static_target
$02D406  in func $02D406  base $018092  kind=static_target
$02D40C  in func $02D40C  base $0165B4  kind=static_target
$02D412  in func $02D412  base $016E0A  kind=static_target
$02D418  in func $02D418  base $0164E2  kind=static_target
$02D41E  in func $02D41E  base $016DEE  kind=static_target
$02D424  in func $02D424  base $01641C  kind=static_target
$02D514  in func $02D514  base $016442  kind=static_target
$02D51A  in func $02D51A  base $0165B4  kind=static_target
$02D520  in func $02D520  base $016DEE  kind=static_target
$02D526  in func $02D526  base $01641C  kind=static_target
$02D536  in func $02D52C  base $02D53A  kind=fallback_hybrid/offset_table
$02D57C  in func $02D53E  base $001370  kind=static_target
$02D7AC  in func $02D7AC  base $016564  kind=static_target
$02D7B2  in func $02D7B2  base $016556  kind=static_target
$02D7B8  in func $02D7B8  base $00161E  kind=static_target
$02D7BE  in func $02D7BE  base $040D9E  kind=static_target
$02D7C4  in func $02D7C4  base $016DEE  kind=static_target
$02D7D6  in func $02D7CC  base $02D7DA  kind=fallback_hybrid/offset_table
$02DA16  in func $02D9E6  base $016564  kind=static_target
$02DAF4  in func $02DAE8  base $016556  kind=static_target
$02DD7E  in func $02DD4E  base $016564  kind=static_target
$02DE44  in func $02DE3A  base $02DE48  kind=fallback_hybrid/offset_table
$02DF08  in func $02DEFE  base $02DF0C  kind=fallback_hybrid/offset_table
$02E008  in func $02DFF2  base $016564  kind=static_target
$02E0DC  in func $02E096  base $016564  kind=static_target
$02E126  in func $02E112  base $02E12A  kind=fallback_hybrid/offset_table
$02E1C2  in func $02E176  base $016564  kind=static_target
$02E224  in func $02E1C8  base $016564  kind=static_target
$02E234  in func $02E22A  base $02E238  kind=fallback_hybrid/offset_table
$02E372  in func $02E344  base $016564  kind=static_target
$02E6F8  in func $02E6D0  base $016564  kind=static_target
$02E71C  in func $02E712  base $02E720  kind=fallback_hybrid/offset_table
$02E784  in func $02E762  base $016564  kind=static_target
$02E7BA  in func $02E762  base $016564  kind=static_target
$02E822  in func $02E7DE  base $016564  kind=static_target
$02E862  in func $02E828  base $016564  kind=static_target
$02E9DC  in func $02E9D0  base $016564  kind=static_target
$02EF68  in func $02EF68  base $016564  kind=static_target
$02EF6E  in func $02EF6E  base $016556  kind=static_target
$02EF74  in func $02EF74  base $016442  kind=static_target
$02EF7A  in func $02EF7A  base $001370  kind=static_target
$02EF80  in func $02EF80  base $016E0A  kind=static_target
$02EF86  in func $02EF86  base $00161E  kind=static_target
$02EF8C  in func $02EF8C  base $040D9E  kind=static_target
$02EF92  in func $02EF92  base $016DEE  kind=static_target
$02EF98  in func $02EF98  base $00F696  kind=static_target
$02EF9E  in func $02EF9E  base $00F69E  kind=static_target
$02EFA4  in func $02EFA4  base $0163F0  kind=static_target
$02EFAA  in func $02EFAA  base $01641C  kind=static_target
$02EFBA  in func $02EFB0  base $02EFBE  kind=fallback_hybrid/offset_table
$02F304  in func $02F2FA  base $02F308  kind=fallback_hybrid/offset_table
$02F34A  in func $02F340  base $02F34E  kind=fallback_hybrid/offset_table
$02F5F0  in func $02F5E6  base $02F5F4  kind=fallback_hybrid/offset_table
$02F706  in func $02F6FC  base $02F70A  kind=fallback_hybrid/offset_table
$02F9C8  in func $02F9BC  base $016564  kind=static_target
$02FC8C  in func $02FC8C  base $016564  kind=static_target
$02FC92  in func $02FC92  base $016556  kind=static_target
$02FC98  in func $02FC98  base $016442  kind=static_target
$02FC9E  in func $02FC9E  base $016558  kind=static_target
$02FCA4  in func $02FCA4  base $001370  kind=static_target
$02FCAA  in func $02FCAA  base $018092  kind=static_target
$02FCB0  in func $02FCB0  base $0165B4  kind=static_target
$02FCB6  in func $02FCB6  base $016E0A  kind=static_target
$02FCBC  in func $02FCBC  base $01EE92  kind=static_target
$02FCC2  in func $02FCC2  base $00161E  kind=static_target
$02FCC8  in func $02FCC8  base $040D9E  kind=static_target
$02FCCE  in func $02FCCE  base $016DEE  kind=static_target
$02FCD4  in func $02FCD4  base $00F696  kind=static_target
$02FCDA  in func $02FCDA  base $00F69E  kind=static_target
$02FCE0  in func $02FCE0  base $0163F0  kind=static_target
$02FCF2  in func $02FCE8  base $02FCF6  kind=fallback_hybrid/offset_table
$02FDA2  in func $02FD98  base $02FDA6  kind=fallback_hybrid/offset_table
$02FF92  in func $02FF88  base $02FF96  kind=fallback_hybrid/offset_table
$030008  in func $02FFFE  base $03000C  kind=fallback_hybrid/offset_table
$0304C8  in func $0304C8  base $016564  kind=static_target
$0304CE  in func $0304CE  base $016556  kind=static_target
$0304D4  in func $0304D4  base $018072  kind=static_target
$0304DA  in func $0304DA  base $016442  kind=static_target
$0304E0  in func $0304E0  base $001370  kind=static_target
$0304E6  in func $0304E6  base $0165B4  kind=static_target
$0304EC  in func $0304EC  base $01EE92  kind=static_target
$0304F2  in func $0304F2  base $00161E  kind=static_target
$0304F8  in func $0304F8  base $023090  kind=static_target
$0304FE  in func $0304FE  base $040D9E  kind=static_target
$030504  in func $030504  base $016DEE  kind=static_target
$03050A  in func $03050A  base $00F696  kind=static_target
$030510  in func $030510  base $00F69E  kind=static_target
$030522  in func $030518  base $030526  kind=fallback_hybrid/offset_table
$0306C2  in func $0306B8  base $0306C6  kind=fallback_hybrid/offset_table
$030A3A  in func $030A3A  base $016556  kind=static_target
$030A5C  in func $030A54  base $030A60  kind=fallback_hybrid/offset_table
$030C52  in func $030C4A  base $030C56  kind=fallback_hybrid/offset_table
$030FEC  in func $030FEC  base $016564  kind=static_target
$030FF2  in func $030FF2  base $016556  kind=static_target
$030FF8  in func $030FF8  base $018072  kind=static_target
$030FFE  in func $030FFE  base $001370  kind=static_target
$031004  in func $031004  base $018092  kind=static_target
$03100A  in func $03100A  base $0165B4  kind=static_target
$031010  in func $031010  base $003390  kind=static_target
$031016  in func $031016  base $00161E  kind=static_target
$03101C  in func $03101C  base $040D9E  kind=static_target
$031022  in func $031022  base $00F696  kind=static_target
$031028  in func $031028  base $00F69E  kind=static_target
$03102E  in func $03102E  base $019CCA  kind=static_target
$031034  in func $031034  base $0197B0  kind=static_target
$031046  in func $03103C  base $03104A  kind=fallback_hybrid/offset_table
$031160  in func $031156  base $031164  kind=fallback_hybrid/offset_table
$031684  in func $031684  base $016556  kind=static_target
$031950  in func $031950  base $016564  kind=static_target
$031956  in func $031956  base $016556  kind=static_target
$03195C  in func $03195C  base $018072  kind=static_target
$031962  in func $031962  base $003390  kind=static_target
$031968  in func $031968  base $00161E  kind=static_target
$03196E  in func $03196E  base $040D9E  kind=static_target
$031974  in func $031974  base $00F696  kind=static_target
$03197A  in func $03197A  base $00F69E  kind=static_target
$031980  in func $031980  base $0163F0  kind=static_target
$031992  in func $031988  base $031996  kind=fallback_hybrid/offset_table
$031ABE  in func $031AB4  base $031AC2  kind=fallback_hybrid/offset_table
$031AD8  in func $031ACE  base $031ADC  kind=fallback_hybrid/offset_table
$031F08  in func $031F08  base $016556  kind=static_target
$031FD4  in func $031FBC  base $031FD8  kind=fallback_hybrid/offset_table
$0322E4  in func $0322E4  base $016564  kind=static_target
$0322EA  in func $0322EA  base $016556  kind=static_target
$0322F0  in func $0322F0  base $018072  kind=static_target
$0322F6  in func $0322F6  base $001370  kind=static_target
$0322FC  in func $0322FC  base $018092  kind=static_target
$032302  in func $032302  base $0165B4  kind=static_target
$032308  in func $032308  base $00161E  kind=static_target
$03230E  in func $03230E  base $040D9E  kind=static_target
$032314  in func $032314  base $00F696  kind=static_target
$03231A  in func $03231A  base $00F69E  kind=static_target
$03232A  in func $032320  base $03232E  kind=fallback_hybrid/offset_table
$03245C  in func $032452  base $032460  kind=fallback_hybrid/offset_table
$0326DE  in func $0326C6  base $0326E2  kind=fallback_hybrid/offset_table
$032952  in func $0328FC  base $016556  kind=static_target
$0329E2  in func $0329D8  base $0329E6  kind=fallback_hybrid/offset_table
$032D50  in func $032D46  base $032D54  kind=fallback_hybrid/offset_table
$032FE4  in func $032FE4  base $016564  kind=static_target
$032FEA  in func $032FEA  base $016556  kind=static_target
$032FF0  in func $032FF0  base $018072  kind=static_target
$032FF6  in func $032FF6  base $001370  kind=static_target
$032FFC  in func $032FFC  base $0165B4  kind=static_target
$033002  in func $033002  base $00161E  kind=static_target
$033008  in func $033008  base $040D9E  kind=static_target
$03300E  in func $03300E  base $00F696  kind=static_target
$033014  in func $033014  base $00F69E  kind=static_target
$03301A  in func $03301A  base $0163F0  kind=static_target
$033020  in func $033020  base $01641C  kind=static_target
$033032  in func $033028  base $033036  kind=fallback_hybrid/offset_table
$033088  in func $03307E  base $03308C  kind=fallback_hybrid/offset_table
$0332AC  in func $0332A2  base $0332B0  kind=fallback_hybrid/offset_table
$0334F8  in func $0334EE  base $0334FC  kind=fallback_hybrid/offset_table
$033612  in func $033608  base $033616  kind=fallback_hybrid/offset_table
$033934  in func $033934  base $016564  kind=static_target
$03393A  in func $03393A  base $016556  kind=static_target
$033940  in func $033940  base $018072  kind=static_target
$033946  in func $033946  base $016442  kind=static_target
$03394C  in func $03394C  base $001370  kind=static_target
$033952  in func $033952  base $018092  kind=static_target
$033958  in func $033958  base $0165B4  kind=static_target
$03395E  in func $03395E  base $003390  kind=static_target
$033964  in func $033964  base $016DEE  kind=static_target
$03396A  in func $03396A  base $0033B6  kind=static_target
$033970  in func $033970  base $00F696  kind=static_target
$033976  in func $033976  base $00F69E  kind=static_target
$03397C  in func $03397C  base $01641C  kind=static_target
$033992  in func $033984  base $033996  kind=fallback_hybrid/offset_table
$034878  in func $034878  base $016564  kind=static_target
$03487E  in func $03487E  base $006F8E  kind=static_target
$03488E  in func $03488E  base $034892  kind=fallback_hybrid/offset_table
$034F3C  in func $034F3C  base $016564  kind=static_target
$034F42  in func $034F42  base $0165B4  kind=static_target
$034F52  in func $034F48  base $034F56  kind=fallback_hybrid/offset_table
$035042  in func $035038  base $035046  kind=fallback_hybrid/offset_table
$0354A0  in func $035496  base $0354A4  kind=fallback_hybrid/offset_table
$0355F6  in func $0355EC  base $0355FA  kind=fallback_hybrid/offset_table
$03605E  in func $036054  base $036062  kind=fallback_hybrid/offset_table
$036654  in func $036654  base $016564  kind=static_target
$03665A  in func $03665A  base $016556  kind=static_target
$036660  in func $036660  base $0165B4  kind=static_target
$036666  in func $036666  base $0076FA  kind=static_target
$03666C  in func $03666C  base $00364E  kind=static_target
$036672  in func $036672  base $0033B6  kind=static_target
$036678  in func $036678  base $0163F0  kind=static_target
$03667E  in func $03667E  base $006FA4  kind=static_target
$036684  in func $036684  base $006F8E  kind=static_target
$036826  in func $036820  base $016564  kind=static_target
$03683C  in func $036820  base $016564  kind=static_target
$036996  in func $036990  base $016564  kind=static_target
$0369B0  in func $036990  base $016564  kind=static_target
$0369B6  in func $0369B6  base $016556  kind=static_target
$0369C6  in func $0369BC  base $0369CA  kind=fallback_hybrid/offset_table
$036A02  in func $0369F6  base $016442  kind=static_target
$036A86  in func $036A5A  base $016442  kind=static_target
$036AB8  in func $036A90  base $016442  kind=static_target
$036AD0  in func $036ABE  base $016442  kind=static_target
$036B18  in func $036B0E  base $036B1C  kind=fallback_hybrid/offset_table
$036C2A  in func $036C20  base $036C2E  kind=fallback_hybrid/offset_table
$036C76  in func $036C6C  base $036C7A  kind=fallback_hybrid/offset_table
$036E4E  in func $036E44  base $036E52  kind=fallback_hybrid/offset_table
$036FB0  in func $036FA6  base $036FB4  kind=fallback_hybrid/offset_table
$037088  in func $03707E  base $03708C  kind=fallback_hybrid/offset_table
$0371A0  in func $037196  base $0371A4  kind=fallback_hybrid/offset_table
$0373C4  in func $0373BA  base $0373C8  kind=fallback_hybrid/offset_table
$037472  in func $037468  base $037476  kind=fallback_hybrid/offset_table
$03778A  in func $037780  base $03778E  kind=fallback_hybrid/offset_table
$03786A  in func $037860  base $03786E  kind=fallback_hybrid/offset_table
$0379D8  in func $0379CE  base $0379DC  kind=fallback_hybrid/offset_table
$037AA8  in func $037A9E  base $037AAC  kind=fallback_hybrid/offset_table
$037B24  in func $037B1A  base $037B28  kind=fallback_hybrid/offset_table
$037C9C  in func $037C92  base $037CA0  kind=fallback_hybrid/offset_table
$037EB8  in func $037EAE  base $037EBC  kind=fallback_hybrid/offset_table
$0380AE  in func $0380A4  base $0380B2  kind=fallback_hybrid/offset_table
$0381FE  in func $0381F4  base $038202  kind=fallback_hybrid/offset_table
$038456  in func $03844C  base $03845A  kind=fallback_hybrid/offset_table
$038544  in func $03853A  base $038548  kind=fallback_hybrid/offset_table
$0387E0  in func $0387D6  base $0387E4  kind=fallback_hybrid/offset_table
$038A3E  in func $038A34  base $038A42  kind=fallback_hybrid/offset_table
$038B8C  in func $038B82  base $038B90  kind=fallback_hybrid/offset_table
$038C28  in func $038C1E  base $038C2C  kind=fallback_hybrid/offset_table
$038E5C  in func $038E52  base $038E60  kind=fallback_hybrid/offset_table
$039008  in func $038FFE  base $03900C  kind=fallback_hybrid/offset_table
$0390D4  in func $0390CA  base $0390D8  kind=fallback_hybrid/offset_table
$039108  in func $0390FE  base $03910C  kind=fallback_hybrid/offset_table
$039144  in func $03913A  base $039148  kind=fallback_hybrid/offset_table
$03941C  in func $039412  base $039420  kind=fallback_hybrid/offset_table
$0394BE  in func $0394B4  base $0394C2  kind=fallback_hybrid/offset_table
$0394F4  in func $0394EA  base $0394F8  kind=fallback_hybrid/offset_table
$0397CE  in func $0397C4  base $0397D2  kind=fallback_hybrid/offset_table
$03A27E  in func $03A274  base $03A282  kind=fallback_hybrid/offset_table
$03A49A  in func $03A490  base $03A49E  kind=fallback_hybrid/offset_table
$03A732  in func $03A722  base $03A736  kind=fallback_hybrid/offset_table
$03A832  in func $03A828  base $03A836  kind=fallback_hybrid/offset_table
$03AD0C  in func $03AD02  base $03AD10  kind=fallback_hybrid/offset_table
$03ADAE  in func $03ADA4  base $03ADB2  kind=in_function_switch targets=1
$03ADCC  in func $03ADC2  base $03ADD0  kind=in_function_switch targets=1
$03ADE4  in func $03ADDA  base $03ADE8  kind=fallback_hybrid/offset_table
$03B380  in func $03B376  base $03B384  kind=fallback_hybrid/offset_table
$03B40C  in func $03B402  base $03B410  kind=fallback_hybrid/offset_table
$03B49C  in func $03B492  base $03B4A0  kind=fallback_hybrid/offset_table
$03B672  in func $03B668  base $03B676  kind=fallback_hybrid/offset_table
$03B948  in func $03B93E  base $03B94C  kind=fallback_hybrid/offset_table
$03BA0A  in func $03BA00  base $03BA0E  kind=fallback_hybrid/offset_table
$03BB5C  in func $03BB52  base $03BB60  kind=fallback_hybrid/offset_table
$03BBEE  in func $03BBE4  base $03BBF2  kind=fallback_hybrid/offset_table
$03BC1E  in func $03BC14  base $03BC22  kind=fallback_hybrid/offset_table
$03BC5E  in func $03BC54  base $03BC62  kind=fallback_hybrid/offset_table
$03BCBE  in func $03BCB4  base $03BCC2  kind=fallback_hybrid/offset_table
$03BE1C  in func $03BE12  base $03BE20  kind=fallback_hybrid/offset_table
$03BF4C  in func $03BF42  base $03BF50  kind=fallback_hybrid/offset_table
$03BFA6  in func $03BF9C  base $03BFAA  kind=fallback_hybrid/offset_table
$03C14E  in func $03C144  base $03C152  kind=fallback_hybrid/offset_table
